n_states,em_sharpness,tr_sharpness,y_emission_cosine,x_transition_cosine,actual_accuracy,pa_original,pa_guess_a_opt,pa_guess_b,error_original,error_guess_a_opt,error_guess_b,optimal_w_used
3,0.0,0.0,0.9997,0.9999,0.3369,0.3335,0.3335,0.3336,0.0034,0.0034,0.0034,0.94
3,0.0,0.2,0.9998,0.9004,0.3307,0.3335,0.3375,0.3999,0.0028,0.0068,0.0692,0.94
3,0.0,0.4,0.9999,0.6431,0.3385,0.3334,0.3477,0.5713,0.0051,0.0092,0.2328,0.94
3,0.0,0.6,0.9999,0.3899,0.3479,0.3334,0.3578,0.7401,0.0145,0.0099,0.3922,0.94
3,0.0,0.8,0.9998,0.185,0.3641,0.3335,0.3661,0.8767,0.0306,0.002,0.5126,0.94
3,0.0,1.0,0.9998,0.0161,0.3866,0.3335,0.3728,0.9893,0.0532,0.0138,0.6026,0.94
3,0.2,0.0,0.9006,0.9999,0.461,0.3996,0.3956,0.3997,0.0614,0.0653,0.0613,0.94
3,0.2,0.2,0.9069,0.8944,0.406,0.3954,0.3959,0.4593,0.0106,0.0101,0.0532,0.94
3,0.2,0.4,0.899,0.6367,0.4076,0.4007,0.4111,0.6184,0.007,0.0035,0.2108,0.94
3,0.2,0.6,0.8945,0.3946,0.4265,0.4036,0.4236,0.7647,0.0228,0.0028,0.3382,0.94
3,0.2,0.8,0.8964,0.1784,0.4664,0.4024,0.4311,0.8934,0.064,0.0353,0.427,0.94
3,0.2,1.0,0.8934,0.0229,0.7155,0.4044,0.4392,0.9863,0.3111,0.2763,0.2708,0.94
3,0.4,0.0,0.6523,0.9997,0.5938,0.5651,0.5512,0.5652,0.0286,0.0425,0.0285,0.94
3,0.4,0.2,0.6522,0.8892,0.556,0.5652,0.5557,0.6134,0.0092,0.0003,0.0573,0.94
3,0.4,0.4,0.6616,0.6568,0.5446,0.5589,0.5591,0.7103,0.0143,0.0145,0.1657,0.94
3,0.4,0.6,0.6512,0.4023,0.5916,0.5659,0.5758,0.8253,0.0257,0.0158,0.2337,0.94
3,0.4,0.8,0.6493,0.1843,0.662,0.5671,0.5857,0.9202,0.0949,0.0763,0.2582,0.94
3,0.4,1.0,0.6504,0.0252,0.881,0.5664,0.5914,0.9891,0.3146,0.2896,0.1081,0.94
3,0.6,0.0,0.4013,0.9999,0.7184,0.7325,0.7085,0.7325,0.0141,0.0098,0.0141,0.94
3,0.6,0.2,0.3894,0.8978,0.7214,0.7404,0.7201,0.7669,0.019,0.0014,0.0455,0.94
3,0.6,0.4,0.3946,0.6508,0.7073,0.7369,0.7267,0.8288,0.0296,0.0194,0.1215,0.94
3,0.6,0.6,0.3958,0.3972,0.7294,0.7361,0.7361,0.8952,0.0068,0.0067,0.1658,0.94
3,0.6,0.8,0.3955,0.1846,0.8085,0.7364,0.7448,0.9513,0.0722,0.0637,0.1428,0.94
3,0.6,1.0,0.3845,0.0201,0.9643,0.7437,0.7583,0.9948,0.2206,0.206,0.0306,0.94
3,0.8,0.0,0.1854,0.9999,0.8479,0.8764,0.8438,0.8764,0.0285,0.0041,0.0285,0.94
3,0.8,0.2,0.1826,0.8892,0.8475,0.8783,0.85,0.8918,0.0308,0.0026,0.0443,0.94
3,0.8,0.4,0.1759,0.6591,0.8532,0.8827,0.8634,0.9227,0.0296,0.0102,0.0695,0.94
3,0.8,0.6,0.1772,0.386,0.86,0.8819,0.8735,0.9544,0.0219,0.0135,0.0944,0.94
3,0.8,0.8,0.174,0.1838,0.9093,0.884,0.8836,0.9787,0.0253,0.0257,0.0694,0.94
3,0.8,1.0,0.1759,0.02,0.9881,0.8827,0.889,0.9977,0.1053,0.0991,0.0096,0.94
3,1.0,0.0,0.0207,0.9997,0.9807,0.9862,0.9471,0.9862,0.0055,0.0336,0.0055,0.94
3,1.0,0.2,0.021,0.8962,0.9789,0.986,0.951,0.9875,0.0071,0.028,0.0085,0.94
3,1.0,0.4,0.0227,0.6524,0.9785,0.9849,0.9597,0.9901,0.0063,0.0189,0.0116,0.94
3,1.0,0.6,0.0241,0.3909,0.9772,0.9839,0.9692,0.9937,0.0067,0.008,0.0165,0.94
3,1.0,0.8,0.0181,0.1696,0.985,0.9879,0.9819,0.998,0.0029,0.0032,0.0129,0.94
3,1.0,1.0,0.0087,0.0297,0.9988,0.9942,0.9933,0.9998,0.0047,0.0055,0.001,0.94
4,0.0,0.0,0.9997,0.9996,0.2503,0.2503,0.2503,0.2505,0.0,0.0,0.0003,0.93
4,0.0,0.2,0.9998,0.8603,0.2533,0.2502,0.2575,0.3549,0.0031,0.0042,0.1016,0.93
4,0.0,0.4,0.9996,0.5973,0.2479,0.2503,0.2714,0.5522,0.0024,0.0235,0.3043,0.93
4,0.0,0.6,0.9997,0.3322,0.2545,0.2503,0.2853,0.7509,0.0042,0.0308,0.4964,0.93
4,0.0,0.8,0.9996,0.1483,0.2705,0.2503,0.295,0.8888,0.0202,0.0245,0.6183,0.93
4,0.0,1.0,0.9997,0.0185,0.299,0.2502,0.3017,0.9861,0.0488,0.0027,0.6871,0.93
4,0.2,0.0,0.8641,0.9996,0.3977,0.3519,0.3448,0.3522,0.0458,0.0529,0.0455,0.93
